,,,,,,,,,  TF,IDF,TF-IDF
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e32,3,26,61,0.015306122,0.370356487,0.005668722
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e34,2,45,61,0.010204082,0.132117321,0.001348136
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e55,26,37,61,0.132653061,0.217128111,0.028802709
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e65,1,12,61,0.005102041,0.706148589,0.003602799
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e69,5,52,61,0.025510204,0.069326491,0.001768533
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e74,2,24,61,0.010204082,0.405118593,0.004133863
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e84,5,35,61,0.025510204,0.241261791,0.006154638
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e89,9,36,61,0.045918367,0.229027334,0.010516561
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e90,46,39,61,0.234693878,0.194265228,0.04559286
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e92,2,17,61,0.010204082,0.554880914,0.00566205
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e115,2,10,61,0.010204082,0.785329835,0.00801357
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e120,2,5,61,0.010204082,1.086359831,0.011085304
